[SPHERE] radius = 0.0012714560254376561 | density = 0.13768858601176814 | surface_area = 2.0314800071126963e-05
[SPHERE] radius = 0.16734752658150298 | density = 0.2788878733307446 | surface_area = 0.3519236551361999
[SPHERE] radius = 0.16744976820983182 | density = 0.9175522474387938 | surface_area = 0.3523538047742138
[TETRAHEDRON] side = 0.4530598450402503 | density = 0.8430132027737861 | surface_area = 0.3555263314867853
[SPHERE] radius = 0.16865528037631072 | density = 0.19959974836928052 | surface_area = 0.35744543080120605
[PARALLELEPIPED] width = 0.5580697534288133 | length = 0.14784474861288865 | height = 0.1376350404118314 | density = 0.22611025074342206 | surface_area = 0.35933250683989426
[SPHERE] radius = 0.16957277210016464 | density = 0.13350772695746627 | surface_area = 0.3613450450122861
[TETRAHEDRON] side = 0.45929644347649135 | density = 0.13267648288873657 | surface_area = 0.36538170023935335
[TETRAHEDRON] side = 0.46026863017832664 | density = 0.15878065438189304 | surface_area = 0.3669301344980473
[SPHERE] radius = 0.1717416344388617 | density = 0.9507807568039122 | surface_area = 0.3706474763111972
[SPHERE] radius = 0.173090177561516 | density = 0.8460327746881946 | surface_area = 0.3764910971188404
[PARALLELEPIPED] width = 0.3256121251608812 | length = 0.15379828869791357 | height = 0.2954493320271585 | density = 0.6758807193006846 | surface_area = 0.3834401483409578
[TETRAHEDRON] side = 0.470818655191958 | density = 0.7678501029976527 | surface_area = 0.3839440594492182
[TETRAHEDRON] side = 0.4708482223070476 | density = 0.40134031913139556 | surface_area = 0.38399228385375894
[TETRAHEDRON] side = 0.4712662339530027 | density = 0.5304754783399962 | surface_area = 0.38467439112131446
[TETRAHEDRON] side = 0.4719341700540487 | density = 0.8306014539676813 | surface_area = 0.38576557897378
[TETRAHEDRON] side = 0.4737407371038984 | density = 0.7428656633673656 | surface_area = 0.38872465809491596
[TETRAHEDRON] side = 0.47558092667341534 | density = 0.15756156757042905 | surface_area = 0.3917504327710956
[SPHERE] radius = 0.17667203216187266 | density = 0.25767694542470576 | surface_area = 0.39223421329972163
[PARALLELEPIPED] width = 0.30105570418809335 | length = 0.2672669996432544 | height = 0.20552641362683222 | density = 0.5881655197793223 | surface_area = 0.3945351637700002
[TETRAHEDRON] side = 0.47837109789622634 | density = 0.8267590853997749 | surface_area = 0.3963606141963723
[SPHERE] radius = 0.177638088494952 | density = 0.03026414093890628 | surface_area = 0.3965354750674695
[PARALLELEPIPED] width = 0.9705713361808522 | length = 0.00967942834804314 | height = 0.19469346378246044 | density = 0.18868882927528874 | surface_area = 0.4004859848535254
[PARALLELEPIPED] width = 0.06944386222107857 | length = 0.4864205633446905 | height = 0.3001719386942828 | density = 0.5369370210233998 | surface_area = 0.4012676497113378
[PARALLELEPIPED] width = 0.644694887032147 | length = 0.0032812701762545693 | height = 0.30789175757608833 | density = 0.10020610875219249 | surface_area = 0.40324387203179374
[TETRAHEDRON] side = 0.482969486783016 | density = 0.06142483008429245 | surface_area = 0.40401734893248614
[TETRAHEDRON] side = 0.4831973925965568 | density = 0.3093531689064237 | surface_area = 0.40439873794434245
[TETRAHEDRON] side = 0.4856235478294405 | density = 0.5865051349266271 | surface_area = 0.40846994067824094
[PARALLELEPIPED] width = 0.6255155274218208 | length = 0.07283239169468736 | height = 0.22909014642480519 | density = 0.7739040838890431 | surface_area = 0.41108483790030775
[TETRAHEDRON] side = 0.4872931466509499 | density = 0.6552386507520194 | surface_area = 0.41128345035030067
[TETRAHEDRON] side = 0.48776656934477636 | density = 0.17696322155952582 | surface_area = 0.41208299167213336
[SPHERE] radius = 0.18109012102647049 | density = 0.5057564842978886 | surface_area = 0.41209693266575875
[PARALLELEPIPED] width = 0.16994441245719505 | length = 0.2741137172415229 | height = 0.36064901841143704 | density = 0.5576356363248886 | surface_area = 0.4134664464330591
[TETRAHEDRON] side = 0.4902259672150111 | density = 0.5351066193590621 | surface_area = 0.41624904630114856
[TETRAHEDRON] side = 0.4910624190994659 | density = 0.7737668795743681 | surface_area = 0.41767071450453996
[TETRAHEDRON] side = 0.4911541969021441 | density = 0.33767656493504405 | surface_area = 0.41782685140718173
[SPHERE] radius = 0.1824352783179629 | density = 0.03809773672939076 | surface_area = 0.4182418733389305
[SPHERE] radius = 0.18256608337479852 | density = 0.13780774853677535 | surface_area = 0.4188418424373923
[PARALLELEPIPED] width = 0.17847750759935788 | length = 0.4680909771531029 | height = 0.19682209074570634 | density = 0.3995021444153988 | surface_area = 0.42160534382259285
[TETRAHEDRON] side = 0.4939647830827225 | density = 0.20764987431237503 | surface_area = 0.42262248750389164
[PARALLELEPIPED] width = 0.2502438813870298 | length = 0.22974251815400004 | height = 0.32291647263096046 | density = 0.3472546266116183 | surface_area = 0.42497434902622266
[PARALLELEPIPED] width = 0.3348258424647874 | length = 0.24569155531832965 | height = 0.225298276166648 | density = 0.3647466502204776 | surface_area = 0.4261069020024564
[SPHERE] radius = 0.18453511389524446 | density = 0.010897390850588051 | surface_area = 0.42792523560727463
[TETRAHEDRON] side = 0.49804905360227336 | density = 0.7221818686706426 | surface_area = 0.4296401561261753
[PARALLELEPIPED] width = 0.6527335678023984 | length = 0.043677344790813755 | height = 0.26773335830353395 | density = 0.17674365980417883 | surface_area = 0.4299242029705058
[SPHERE] radius = 0.18598429560053853 | density = 0.8154213156805691 | surface_area = 0.4346727476765368
[TETRAHEDRON] side = 0.5013833898185744 | density = 0.6221095933377787 | surface_area = 0.4354121180870173
[PARALLELEPIPED] width = 0.14174803570296934 | length = 0.09407475920511832 | height = 0.8712901793167424 | density = 0.7786802531621413 | surface_area = 0.4376099951779968
[PARALLELEPIPED] width = 0.06141654087809589 | length = 0.41821518957248827 | height = 0.4048248290979627 | density = 0.6402071067550147 | surface_area = 0.4397043271916744
[PARALLELEPIPED] width = 0.47064597951044407 | length = 0.2414281079622428 | height = 0.15376038169083728 | density = 0.1142230182728321 | surface_area = 0.44623190367039595
[SPHERE] radius = 0.19002221734688673 | density = 0.16931947393616908 | surface_area = 0.4537520781189763
[PARALLELEPIPED] width = 0.2258266945370252 | length = 0.1419101223374416 | height = 0.5312639532681911 | density = 0.8347503659139842 | surface_area = 0.45482481788759876
[TETRAHEDRON] side = 0.5153170234136746 | density = 0.011674100020183986 | surface_area = 0.45994892319468456
[PARALLELEPIPED] width = 0.20279697488029758 | length = 0.5666138553913443 | height = 0.14989623584897827 | density = 0.28973855431011974 | surface_area = 0.4604787261555665
[PARALLELEPIPED] width = 0.40538985103185576 | length = 0.15098830551438136 | height = 0.3042949457956954 | density = 0.5648491630902049 | surface_area = 0.46102437533634705
[PARALLELEPIPED] width = 0.23710948747279403 | length = 0.3535694734085978 | height = 0.25148100090952363 | density = 0.4900431516475946 | surface_area = 0.46475842584917615
[TETRAHEDRON] side = 0.51831685676456 | density = 0.13207746240210694 | surface_area = 0.4653195440323884
[TETRAHEDRON] side = 0.5185573179802473 | density = 0.7048968315433984 | surface_area = 0.4657513928387012
[TETRAHEDRON] side = 0.519181927630035 | density = 0.8668082334463765 | surface_area = 0.46687407690305854
[SPHERE] radius = 0.19282664856461396 | density = 0.9557895791666504 | surface_area = 0.46724425486668486
[SPHERE] radius = 0.19326854770360868 | density = 0.720558562268905 | surface_area = 0.46938826788301224
[SPHERE] radius = 0.19399581109143227 | density = 0.06050615687820149 | surface_area = 0.47292750058404104
[TETRAHEDRON] side = 0.5234854486375572 | density = 0.29577400279182586 | surface_area = 0.47464603302238945
[SPHERE] radius = 0.1945013171944291 | density = 0.8605625806823711 | surface_area = 0.47539538082112354
[TETRAHEDRON] side = 0.5288086002806339 | density = 0.025314742525050282 | surface_area = 0.4843481516398468
[PARALLELEPIPED] width = 0.4195992911815285 | length = 0.04188550195700336 | height = 0.48737362004601703 | density = 0.44875407088667973 | surface_area = 0.48498128232010945
[TETRAHEDRON] side = 0.5294765613347421 | density = 0.8593673791626616 | surface_area = 0.48557252670265205
[TETRAHEDRON] side = 0.530575769893636 | density = 0.8101802057166005 | surface_area = 0.4875907445117424
[TETRAHEDRON] side = 0.5310878861559379 | density = 0.7830408951592787 | surface_area = 0.48853245226243086
[TETRAHEDRON] side = 0.5324321982005507 | density = 0.8876259249720841 | surface_area = 0.4910087702540978
[TETRAHEDRON] side = 0.5324485332236266 | density = 0.3959997116455669 | surface_area = 0.4910388990203758
[PARALLELEPIPED] width = 0.29681752056940147 | length = 0.644389932307536 | height = 0.05888198586018145 | density = 0.8467724276070709 | surface_area = 0.4933727718384091
[PARALLELEPIPED] width = 0.17749828626376185 | length = 0.37087000263414727 | height = 0.3313455011927827 | density = 0.8463083394886494 | surface_area = 0.49505631083460866
[TETRAHEDRON] side = 0.5394437656415388 | density = 0.7993489020141592 | surface_area = 0.5040260511144703
[TETRAHEDRON] side = 0.5449580744683473 | density = 0.6376025483532717 | surface_area = 0.5143832414681154
[TETRAHEDRON] side = 0.5449866959059727 | density = 0.667174827758451 | surface_area = 0.5144372741549006
[PARALLELEPIPED] width = 0.1525240684146022 | length = 0.8181780261878191 | height = 0.13692022335198262 | density = 0.7458653370167838 | surface_area = 0.515401177685592
[TETRAHEDRON] side = 0.5460571852675733 | density = 0.6471784275280602 | surface_area = 0.5164602243987362
[PARALLELEPIPED] width = 0.29503455272411605 | length = 0.5146663853627714 | height = 0.13325562865796425 | density = 0.44842814654303365 | surface_area = 0.5194831486747088
[TETRAHEDRON] side = 0.5490167400780516 | density = 0.12669278884212387 | surface_area = 0.5220736820803875
[SPHERE] radius = 0.20489990907059086 | density = 0.8562260034395306 | surface_area = 0.5275861612780075
[TETRAHEDRON] side = 0.5535520005394211 | density = 0.12178843197124412 | surface_area = 0.530734692011643
[TETRAHEDRON] side = 0.5538588548853436 | density = 0.4162119261686904 | surface_area = 0.5313232668367415
[PARALLELEPIPED] width = 0.093553491450302 | length = 0.63858958403288 | height = 0.28167160207902064 | density = 0.6640787624279321 | surface_area = 0.5319323964249624
[PARALLELEPIPED] width = 0.18794436363713884 | length = 0.1315461837831755 | height = 0.7590633855781198 | density = 0.4392046779292026 | surface_area = 0.5344738807701873
[TETRAHEDRON] side = 0.5565731132459768 | density = 0.1657554189912085 | surface_area = 0.5365436666776306
[TETRAHEDRON] side = 0.558246491998101 | density = 0.05980497433574217 | surface_area = 0.5397748342017843
[PARALLELEPIPED] width = 0.4822836075665392 | length = 0.02385237712263033 | height = 0.5125662729397311 | density = 0.3240284524510776 | surface_area = 0.5418636915210964
[PARALLELEPIPED] width = 0.5923107987055894 | length = 0.4314837052525117 | height = 0.015902098545678256 | density = 0.4319651124774373 | surface_area = 0.5437058783580557
[PARALLELEPIPED] width = 0.5333031631856026 | length = 0.30041099133352156 | height = 0.13446401718059375 | density = 0.6465539693645419 | surface_area = 0.5446293726617067
[SPHERE] radius = 0.2082012349085668 | density = 0.5297649287732855 | surface_area = 0.5447239447966553
[TETRAHEDRON] side = 0.5632348261732703 | density = 0.7666577052407365 | surface_area = 0.5494644868871471
[TETRAHEDRON] side = 0.5633151277274318 | density = 0.9609599452346066 | surface_area = 0.5496211746328127
[PARALLELEPIPED] width = 0.036309258536737055 | length = 0.8311471289297472 | height = 0.2921006809394895 | density = 0.3189141999099514 | surface_area = 0.5671258749012932
[PARALLELEPIPED] width = 0.6261511958182058 | length = 0.1923926032375144 | height = 0.19937519627591793 | density = 0.48006272640477077 | surface_area = 0.5673283783618339
[TETRAHEDRON] side = 0.5750089213021301 | density = 0.36024341667470994 | surface_area = 0.5726770683611562
[TETRAHEDRON] side = 0.5797143478254853 | density = 0.6622930642519465 | surface_area = 0.5820881066643251
[SPHERE] radius = 0.21570462416378533 | density = 0.2568037852576912 | surface_area = 0.5846941851975599
[PARALLELEPIPED] width = 0.05472153757770326 | length = 0.5407022259734356 | height = 0.4418101510863267 | density = 0.4023985834460553 | surface_area = 0.5853046402237423
[TETRAHEDRON] side = 0.5842936735987457 | density = 0.30810139954508886 | surface_area = 0.5913205816751563
[PARALLELEPIPED] width = 0.06395575341416193 | length = 0.223456535613217 | height = 0.9823653329710083 | density = 0.4546803568588599 | surface_area = 0.5932704002016052
[TETRAHEDRON] side = 0.5868180775568478 | density = 0.2983233615657195 | surface_area = 0.5964411459110518
[SPHERE] radius = 0.21821596703624913 | density = 0.8437419712632989 | surface_area = 0.5983880531071012
[TETRAHEDRON] side = 0.5880538460935579 | density = 0.41630784867608583 | surface_area = 0.5989558580977269
[SPHERE] radius = 0.21871049730894343 | density = 0.8023393540862498 | surface_area = 0.6011033110734871
[TETRAHEDRON] side = 0.5891703721921662 | density = 0.9917984328834938 | surface_area = 0.6012324683874815
[SPHERE] radius = 0.2189945068344843 | density = 0.7843240355318021 | surface_area = 0.6026654666451411
[PARALLELEPIPED] width = 0.45765485050759225 | length = 0.41681593880135304 | height = 0.1272727141913077 | density = 0.1567784556367373 | surface_area = 0.6041082139953592
[SPHERE] radius = 0.21958023256278913 | density = 0.5080070145000826 | surface_area = 0.6058935725859191
[SPHERE] radius = 0.21964180088039276 | density = 0.09491968971317788 | surface_area = 0.606233394411471
[SPHERE] radius = 0.2197023386258221 | density = 0.43496522014930283 | surface_area = 0.6065676209602241
[PARALLELEPIPED] width = 0.5538454893523242 | length = 0.2850782945474103 | height = 0.17596103733119361 | density = 0.19226232169196356 | surface_area = 0.6110144536082878
[SPHERE] radius = 0.22085500532419444 | density = 0.12178898669088367 | surface_area = 0.6129490222441457
[TETRAHEDRON] side = 0.5949027331148243 | density = 0.8287420185314135 | surface_area = 0.6129888228236876
[TETRAHEDRON] side = 0.5958985732316823 | density = 0.245274275583254 | surface_area = 0.6150427713110265
[SPHERE] radius = 0.22137591598457562 | density = 0.25729488902208963 | surface_area = 0.61584384658054
[PARALLELEPIPED] width = 0.03934478364808136 | length = 0.3653926157914591 | height = 0.7280600732809563 | density = 0.30270242864390806 | surface_area = 0.618098868220834
[PARALLELEPIPED] width = 0.012650451605952684 | length = 0.41741422163340236 | height = 0.7068616898810614 | density = 0.03635524737483342 | surface_area = 0.6185534401890533
[SPHERE] radius = 0.222018045034732 | density = 0.4273290691543963 | surface_area = 0.6194216951538012
[TETRAHEDRON] side = 0.5987515431130975 | density = 0.731882356857181 | surface_area = 0.620946121465422
[PARALLELEPIPED] width = 0.0732018121802186 | length = 0.5777905160238117 | height = 0.41200090420799584 | density = 0.7757647217808785 | surface_area = 0.621009481372031
[PARALLELEPIPED] width = 0.16909678077577373 | length = 0.46169731797440017 | height = 0.3689722813377868 | density = 0.5580190439185853 | surface_area = 0.6216341356650894
[TETRAHEDRON] side = 0.599827790270375 | density = 0.8304458532650901 | surface_area = 0.6231804108893035
[PARALLELEPIPED] width = 0.06567098188912646 | length = 0.6897970616880914 | height = 0.3535786635089657 | density = 0.3993195981709171 | surface_area = 0.6248340630341142
[TETRAHEDRON] side = 0.6045714941602077 | density = 0.42546663626395675 | surface_area = 0.6330761602729218
[TETRAHEDRON] side = 0.6047647423439799 | density = 0.8881717534185861 | surface_area = 0.633480944064921
[SPHERE] radius = 0.2257014661235971 | density = 0.941252821620668 | surface_area = 0.6401453931710819
[TETRAHEDRON] side = 0.6079946973307776 | density = 0.6500762468727282 | surface_area = 0.6402656614349529
[TETRAHEDRON] side = 0.6083180748009553 | density = 0.6891222610567256 | surface_area = 0.6409469257699447
[TETRAHEDRON] side = 0.6090101427137802 | density = 0.274344389713708 | surface_area = 0.6424061331933703
[TETRAHEDRON] side = 0.6091399277393748 | density = 0.15496567260464156 | surface_area = 0.6426799663350672
[SPHERE] radius = 0.22686430214430786 | density = 0.5608466169388023 | surface_area = 0.6467585685693313
[TETRAHEDRON] side = 0.6147430795210311 | density = 0.8610191208684927 | surface_area = 0.6545576818547906
[TETRAHEDRON] side = 0.6155199077369466 | density = 0.6962279523214224 | surface_area = 0.6562130080103321
[PARALLELEPIPED] width = 0.017419461015909188 | length = 0.32118377133712006 | height = 0.9540896669257143 | density = 0.9622653883158557 | surface_area = 0.6573053867188432
[SPHERE] radius = 0.2292750273168762 | density = 0.4810601171306452 | surface_area = 0.6605768835065634
[SPHERE] radius = 0.22945778092663682 | density = 0.4000056276755457 | surface_area = 0.6616303861498801
[SPHERE] radius = 0.23057487314768932 | density = 0.5377741863494298 | surface_area = 0.668088230176752
[TETRAHEDRON] side = 0.6223915952410644 | density = 0.3987055570880955 | surface_area = 0.670946769229769
[TETRAHEDRON] side = 0.6225483223978557 | density = 0.4677975058421644 | surface_area = 0.6712847198709656
[PARALLELEPIPED] width = 0.3024572988783413 | length = 0.6790031207471471 | height = 0.13337319290448535 | density = 0.24955389182520626 | surface_area = 0.6725399194119474
[TETRAHEDRON] side = 0.6231645910755941 | density = 0.15731917564306197 | surface_area = 0.672614404623872
[TETRAHEDRON] side = 0.6238151388825629 | density = 0.8460217443350774 | surface_area = 0.6740194787564215
[PARALLELEPIPED] width = 0.1709944215818754 | length = 0.4431146571065977 | height = 0.4281252673250925 | density = 0.8156981494238434 | surface_area = 0.6773714959333251
[PARALLELEPIPED] width = 0.05702003136799361 | length = 0.861146380600438 | height = 0.3171106674977128 | density = 0.06364285659960478 | surface_area = 0.6805259148151208
[TETRAHEDRON] side = 0.6279538726521149 | density = 0.1568661966875814 | surface_area = 0.6829927813704292
[TETRAHEDRON] side = 0.6300667732424182 | density = 0.007658968385780285 | surface_area = 0.6875966981037759
[PARALLELEPIPED] width = 0.2900070052885759 | length = 0.32875014098976063 | height = 0.40283532390994836 | density = 0.26693953681413785 | surface_area = 0.6891941586385332
[TETRAHEDRON] side = 0.6353572596482095 | density = 0.8617409046686496 | surface_area = 0.6991922736163089
[TETRAHEDRON] side = 0.6361771842268023 | density = 0.42505576801471967 | surface_area = 0.7009980445645473
[PARALLELEPIPED] width = 0.0344696433165409 | length = 0.35659635755003727 | height = 0.8695895926971463 | density = 0.1352814473434587 | surface_area = 0.7047173473279941
[TETRAHEDRON] side = 0.6394461211869317 | density = 0.16613622546068718 | surface_area = 0.70822057894757
[TETRAHEDRON] side = 0.6398507185685712 | density = 0.25977153888121196 | surface_area = 0.709117088708328
[TETRAHEDRON] side = 0.6422418111075184 | density = 0.29473653068420447 | surface_area = 0.7144268669236414
[TETRAHEDRON] side = 0.6458174054850708 | density = 0.28261199933251124 | surface_area = 0.7224039607929619
[PARALLELEPIPED] width = 0.6790930816469763 | length = 0.32943469619077004 | height = 0.14086775024396658 | density = 0.6044315435968893 | surface_area = 0.7315717243203513
[TETRAHEDRON] side = 0.6500869077797824 | density = 0.7073891947122519 | surface_area = 0.7319871665771679
[SPHERE] radius = 0.24159148676377862 | density = 0.6850631441319216 | surface_area = 0.7334543978697853
[PARALLELEPIPED] width = 0.7957459395146199 | length = 0.1500075054182245 | height = 0.2620218754413518 | density = 0.7560478749438863 | surface_area = 0.7343519093593852
[TETRAHEDRON] side = 0.6520052265889642 | density = 0.897047142218672 | surface_area = 0.7363135312918725
[PARALLELEPIPED] width = 0.08298672795150352 | length = 0.5247024507727772 | height = 0.5356363695082489 | density = 0.6837817640660001 | surface_area = 0.7380875300381815
[TETRAHEDRON] side = 0.6528507327831896 | density = 0.10535372591899284 | surface_area = 0.7382244402410788
[PARALLELEPIPED] width = 0.3136095022304496 | length = 0.3980245000414824 | height = 0.34475734067028296 | density = 0.9387671533811482 | surface_area = 0.7403306229747084
[PARALLELEPIPED] width = 0.6125603088675631 | length = 0.029822750469148618 | height = 0.5489787383795461 | density = 0.04171062601144215 | surface_area = 0.7418457494194461
[PARALLELEPIPED] width = 0.014654695952283192 | length = 0.5065145024218192 | height = 0.6995941474185238 | density = 0.33704818475455023 | surface_area = 0.7440594740514789
[TETRAHEDRON] side = 0.6562444616135037 | density = 0.8481713176581925 | surface_area = 0.7459194467907171
[SPHERE] radius = 0.24387764566548575 | density = 0.4185303911454282 | surface_area = 0.7474013046644599
[PARALLELEPIPED] width = 0.5728312495208969 | length = 0.5217911164133302 | height = 0.06929544577207736 | density = 0.5059363649365625 | surface_area = 0.7495012040069
[SPHERE] radius = 0.2446344789964402 | density = 0.8170844043586236 | surface_area = 0.752047371589394
[TETRAHEDRON] side = 0.6592513316718079 | density = 0.7335348466310634 | surface_area = 0.7527706169100398
[TETRAHEDRON] side = 0.6637724150584516 | density = 0.09668933258372248 | surface_area = 0.7631308799958663
[PARALLELEPIPED] width = 0.4582231510235235 | length = 0.5966182123288052 | height = 0.10282353844998193 | density = 0.4576396738439278 | surface_area = 0.7636935973892326
[PARALLELEPIPED] width = 0.5810093937090353 | length = 0.15188035171608727 | height = 0.40578080427747587 | density = 0.11575206484654299 | surface_area = 0.7712730028243993
[SPHERE] radius = 0.24794484465591948 | density = 0.8921747506560203 | surface_area = 0.7725383176562943
[PARALLELEPIPED] width = 0.6903468896404547 | length = 0.22051454179383312 | height = 0.2574095514947815 | density = 0.4932336752853669 | surface_area = 0.7733919211745148
[PARALLELEPIPED] width = 0.6191147366214145 | length = 0.05403435516025823 | height = 0.5252549750769187 | density = 0.6333801303157651 | surface_area = 0.7740567499807683
[TETRAHEDRON] side = 0.6685265318061654 | density = 0.7804995755031425 | surface_area = 0.7741015248093532
[PARALLELEPIPED] width = 0.32454184437273426 | length = 0.31510300004125114 | height = 0.4510936504677163 | density = 0.13661997508614776 | surface_area = 0.781607673340657
[SPHERE] radius = 0.24948366481766826 | density = 0.46242157006463436 | surface_area = 0.7821572839860379
[PARALLELEPIPED] width = 0.37534146202622654 | length = 0.3747258596055022 | height = 0.33522190189195034 | density = 0.9838199183665922 | surface_area = 0.7841782922155061
[TETRAHEDRON] side = 0.6737204959559636 | density = 0.8144319813868307 | surface_area = 0.786176660674718
[SPHERE] radius = 0.25043791481177347 | density = 0.7742781518123734 | surface_area = 0.788152073153711
[SPHERE] radius = 0.25218878536689626 | density = 0.7698106700779886 | surface_area = 0.7992109101896834
[TETRAHEDRON] side = 0.6819436946876213 | density = 0.5927119263990782 | surface_area = 0.8054853830361043
[TETRAHEDRON] side = 0.6826120809268688 | density = 0.11993992940286136 | surface_area = 0.8070651005001431
[PARALLELEPIPED] width = 0.2523383919638382 | length = 0.628286350133393 | height = 0.2803547067796016 | density = 0.13553899187962537 | surface_area = 0.810856117278042
[SPHERE] radius = 0.2542106485008546 | density = 0.6282662922673572 | surface_area = 0.8120772444235301
[TETRAHEDRON] side = 0.6851016396214985 | density = 0.32024266091545983 | surface_area = 0.8129627397088939
[SPHERE] radius = 0.2543607168992804 | density = 0.9399027328935149 | surface_area = 0.813036315989994
[PARALLELEPIPED] width = 0.14582159285064766 | length = 0.42001490047622536 | height = 0.6106672376528284 | density = 0.017243501447106513 | surface_area = 0.8135701003030681
[TETRAHEDRON] side = 0.6868029420177044 | density = 0.3229046060314099 | surface_area = 0.8170053888192593
[PARALLELEPIPED] width = 0.1849667710506302 | length = 0.22611920933103558 | height = 0.8928557266226669 | density = 0.9077498849116685 | surface_area = 0.8177300234810935
[PARALLELEPIPED] width = 0.5325255535557346 | length = 0.7124814830948971 | height = 0.02468271414452894 | density = 0.5836218659254413 | surface_area = 0.8202894979537909
[TETRAHEDRON] side = 0.6882579763990724 | density = 0.44828600345146297 | surface_area = 0.820470808373978
[TETRAHEDRON] side = 0.6906033456444077 | density = 0.13096662762828304 | surface_area = 0.8260721549236945
[PARALLELEPIPED] width = 0.8618129205837576 | length = 0.3422318119029939 | height = 0.09842058475913029 | density = 0.3491144575063445 | surface_area = 0.8268851679605741
[TETRAHEDRON] side = 0.6982651362043989 | density = 0.9913813249933174 | surface_area = 0.8445032876193362
[PARALLELEPIPED] width = 0.3693732746341458 | length = 0.45052262749012395 | height = 0.3162436437126752 | density = 0.04381261306983897 | surface_area = 0.8513957715313529
[SPHERE] radius = 0.26125722280856845 | density = 0.41047715839347 | surface_area = 0.8577218544853571
[TETRAHEDRON] side = 0.7058943724499428 | density = 0.16696364968113686 | surface_area = 0.8630581670220725
[PARALLELEPIPED] width = 0.7325112345898608 | length = 0.1543103987313137 | height = 0.36516361505067785 | density = 0.11819780542700253 | surface_area = 0.87373818842687
[PARALLELEPIPED] width = 0.6796787136828596 | length = 0.3911608458484497 | height = 0.16083233659088392 | density = 0.25956893209501775 | surface_area = 0.876178658045494
[TETRAHEDRON] side = 0.7127952179727303 | density = 0.15056138973477862 | surface_area = 0.8800152175869489
[SPHERE] radius = 0.26496897351958315 | density = 0.04014245061007282 | surface_area = 0.8822667466568531
[SPHERE] radius = 0.26513646454333517 | density = 0.16866199266858262 | surface_area = 0.8833824883459619
[PARALLELEPIPED] width = 0.3528538380651022 | length = 0.12422904927434486 | height = 0.8371222966834405 | density = 0.2574905667945675 | surface_area = 0.8864228383871926
[TETRAHEDRON] side = 0.7169979605836517 | density = 0.005780181730359213 | surface_area = 0.8904232021969815
[PARALLELEPIPED] width = 0.7811684147220382 | length = 0.04074167531576933 | height = 0.5033844529178058 | density = 0.4258094840294878 | surface_area = 0.8911257418816916
[TETRAHEDRON] side = 0.7174109432003106 | density = 0.19751178390223478 | surface_area = 0.8914492447469832
[TETRAHEDRON] side = 0.7181821339909986 | density = 0.9041257210692187 | surface_area = 0.8933668261865125
[TETRAHEDRON] side = 0.7207332724922826 | density = 0.7609074457916006 | surface_area = 0.8997249638534832
[PARALLELEPIPED] width = 0.14191077164036758 | length = 0.7040379817042114 | height = 0.41586413483613816 | density = 0.554874878240646 | surface_area = 0.9034206393462493
[TETRAHEDRON] side = 0.7233875405088014 | density = 0.1521287795899664 | surface_area = 0.906364059547191
[PARALLELEPIPED] width = 0.42717065074688887 | length = 0.28757502590365525 | height = 0.46238051579437045 | density = 0.14335224814990644 | surface_area = 0.9066561711705855
[SPHERE] radius = 0.26879660445989884 | density = 0.7897658131764246 | surface_area = 0.9079405661620394
[PARALLELEPIPED] width = 0.8939031230096128 | length = 0.44798986086233195 | height = 0.04086600885553049 | density = 0.8179316118165927 | surface_area = 0.9105946925271311
[PARALLELEPIPED] width = 0.4339153378519821 | length = 0.5056396676628646 | height = 0.2553654244029998 | density = 0.30201654959654956 | surface_area = 0.9186693399171151
[PARALLELEPIPED] width = 0.9319536499259541 | length = 0.3458620446838476 | height = 0.10792913507133384 | density = 0.561595425512635 | surface_area = 0.9204818752275535
[SPHERE] radius = 0.2719936688150344 | density = 0.15573540104574057 | surface_area = 0.9296670833873701
[TETRAHEDRON] side = 0.7338013932416755 | density = 0.27326855951713647 | surface_area = 0.9326478456123659
[PARALLELEPIPED] width = 0.2221718326144989 | length = 0.36113033456287413 | height = 0.6630903004873805 | density = 0.6540274275049123 | surface_area = 0.9340299951022107
[PARALLELEPIPED] width = 0.4369695371413048 | length = 0.40882838199041516 | height = 0.342392549867636 | density = 0.6731892817384539 | surface_area = 0.936480910105661
[TETRAHEDRON] side = 0.735722431276612 | density = 0.9037798257097784 | surface_area = 0.9375374443720711
[PARALLELEPIPED] width = 0.5852583774284318 | length = 0.26080167298922385 | height = 0.3759904002639397 | density = 0.7304767960810555 | surface_area = 0.9414936419363139
[SPHERE] radius = 0.27391417301324184 | density = 0.44544260215846787 | surface_area = 0.9428418963300034
[PARALLELEPIPED] width = 0.712081373072085 | length = 0.1963783140212808 | height = 0.3668344059005961 | density = 0.07395277151040658 | surface_area = 0.9461832181787819
[PARALLELEPIPED] width = 0.6409505439667927 | length = 0.4209679364485701 | height = 0.1955809654213012 | density = 0.5623336769596248 | surface_area = 0.9550213389152942
[PARALLELEPIPED] width = 0.13193632091961038 | length = 0.34402816747214393 | height = 0.9123294985375585 | density = 0.868598755631235 | surface_area = 0.95925250745025
[PARALLELEPIPED] width = 0.52118671243835 | length = 0.6349571558271697 | height = 0.13251652483586984 | density = 0.48972147832611423 | surface_area = 0.9682788004352281
[TETRAHEDRON] side = 0.7495960728820549 | density = 0.2157944486084108 | surface_area = 0.9732294284176554
